,Unnamed: 0,Unnamed: 0.1,game_location,game_result,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,pts,opp_fg,opp_fga,opp_fg_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_ft,opp_fta,opp_ft_pct,opp_pts,date_game,team_id,opp_id,year,dk_points_allowed
103,103,3,Home,W 131-102 ,240,51,100,0.51,37,73,0.507,14,27,0.519,15,17,0.882,131,37,73,0.507,31,54,0.574,6,19,0.316,22,28,0.786,102,2013-04-01,MIL,CHA,2013,105.0
104,104,4,@,W 131-128 (3OT),315,50,113,0.442,39,90,0.433,11,23,0.478,20,27,0.741,131,48,101,0.475,40,78,0.513,8,23,0.348,24,34,0.706,128,2013-12-02,NOP,CHI,2014,132.0
105,105,5,Home,W 131-102 ,240,45,89,0.506,32,59,0.542,13,30,0.433,28,30,0.933,131,37,94,0.394,24,67,0.358,13,27,0.481,15,25,0.6,102,2014-03-13,OKC,LAL,2014,108.5
106,106,6,Home,W 131-109 ,240,42,76,0.553,34,56,0.607,8,20,0.4,39,50,0.78,131,37,82,0.451,28,54,0.519,9,28,0.321,26,31,0.839,109,2014-11-05,SAC,DEN,2015,113.5
107,107,7,Home,W 131-117 ,240,52,94,0.553,44,68,0.647,8,26,0.308,19,23,0.826,131,43,86,0.5,36,69,0.522,7,17,0.412,24,29,0.828,117,2014-11-15,DAL,MIN,2015,120.5
108,108,8,@,W 131-106 ,240,50,91,0.549,41,69,0.594,9,22,0.409,22,33,0.667,131,37,88,0.42,30,65,0.462,7,23,0.304,25,34,0.735,106,2015-01-17,GSW,HOU,2015,109.5
109,109,9,Home,W 131-108 ,240,46,88,0.523,38,68,0.559,8,20,0.4,31,38,0.816,131,42,90,0.467,30,58,0.517,12,32,0.375,12,17,0.706,108,2015-02-08,OKC,LAC,2015,114.0
110,110,10,Home,L 131-135 ,240,45,93,0.484,31,62,0.5,14,31,0.452,27,33,0.818,131,56,91,0.615,52,76,0.684,4,15,0.267,19,24,0.792,135,2015-04-01,OKC,DAL,2015,137.0
111,111,11,Home,W 131-99 ,240,49,82,0.598,32,49,0.653,17,33,0.515,16,19,0.842,131,39,80,0.488,29,57,0.509,10,23,0.435,11,17,0.647,99,2015-04-04,ATL,BRK,2015,104.0
112,112,12,@,W 131-123 ,240,52,95,0.547,36,60,0.6,16,35,0.457,11,15,0.733,131,44,100,0.44,30,67,0.448,14,33,0.424,21,26,0.808,123,2015-12-08,GSW,IND,2016,130.0
113,113,13,Home,W 131-123 ,240,43,86,0.5,35,64,0.547,8,22,0.364,37,40,0.925,131,49,100,0.49,39,84,0.464,10,16,0.625,15,22,0.682,123,2015-12-29,OKC,MIL,2016,128.0
114,114,14,@,W 131-116 ,240,47,82,0.573,33,48,0.688,14,34,0.412,23,26,0.885,131,48,107,0.449,41,82,0.5,7,25,0.28,13,19,0.684,116,2016-02-29,OKC,SAC,2016,119.5
115,115,15,Home,W 131-114 ,240,47,90,0.522,37,66,0.561,10,24,0.417,27,31,0.871,131,41,88,0.466,30,58,0.517,11,30,0.367,21,26,0.808,114,2016-03-15,BRK,PHI,2016,119.5
116,116,16,Home,W 131-109 ,240,51,94,0.543,39,62,0.629,12,32,0.375,17,19,0.895,131,36,72,0.5,30,58,0.517,6,14,0.429,31,35,0.886,109,2016-11-30,POR,IND,2017,112.0
117,117,17,@,W 131-120 ,240,51,87,0.586,36,53,0.679,15,34,0.441,14,20,0.7,131,45,89,0.506,34,61,0.557,11,28,0.393,19,21,0.905,120,2016-12-13,ORL,ATL,2017,125.5
